City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
298,Saint-Felicien,CA,48.6501,-72.4491,73.9,64,20,2.3,few clouds
299,Diffa,NE,13.3154,12.6113,82.96,64,77,5.37,broken clouds
300,Romitan,UZ,39.9343,64.3814,69.75,37,0,11.5,clear sky
301,Castelo Do Piaui,BR,-5.3222,-41.5525,83.82,29,5,6.26,clear sky
302,Ensley,US,30.5188,-87.2728,82.29,79,20,1.99,few clouds
303,Culleredo,ES,43.2879,-8.3886,66.29,81,20,4.61,few clouds
304,Alice Springs,AU,-23.7,133.8833,57.22,26,0,5.75,clear sky
305,Sontra,DE,51.0667,9.9333,68.65,79,75,0.98,broken clouds
306,Lavrentiya,RU,65.5833,-171.0,43.68,88,100,8.21,light rain
307,Tuatapere,NZ,-46.1333,167.6833,44.69,81,55,3.69,broken clouds
308,Xiuyan,CN,40.2928,123.2744,58.75,89,0,0.67,clear sky
309,Timmins,CA,48.4669,-81.3331,75.02,43,40,4.61,scattered clouds
310,Itaituba,BR,-4.2761,-55.9836,87.4,43,86,3.04,overcast clouds
311,Salalah,OM,17.0151,54.0924,77.09,94,100,5.75,light intensity drizzle
312,Pahrump,US,36.2083,-115.9839,107.51,16,0,1.99,clear sky
313,Diu,IN,20.7141,70.9822,78.96,85,100,11.25,overcast clouds
314,Rubiataba,BR,-15.1644,-49.8033,84.78,23,53,3.96,broken clouds
315,Bandarbeyla,SO,9.4942,50.8122,76.93,75,6,26.75,clear sky
316,Dembi Dolo,ET,8.5333,34.8,56.26,95,97,2.73,light rain
317,Guider,CM,9.9342,13.9486,75.04,84,80,3.87,light rain
318,Mandalgovi,MN,45.7625,106.2708,60.33,33,4,5.99,clear sky
319,Kudahuvadhoo,MV,2.6708,72.8944,82.17,74,100,15.95,overcast clouds
320,Maragogi,BR,-9.0122,-35.2225,73.38,72,0,9.44,clear sky
321,Saryozek,KZ,44.3583,77.9753,66.81,23,0,2.37,clear sky
322,Popondetta,PG,-8.7537,148.2534,82.35,55,12,0.81,few clouds
323,Otacilio Costa,BR,-27.4831,-50.1219,56.26,99,93,3.31,overcast clouds
324,Traverse City,US,44.7631,-85.6206,79.84,50,0,8.05,clear sky
325,Khor,RU,47.8861,134.9464,55.27,81,0,11.56,clear sky
326,Tahoua,NE,14.8888,5.2692,82.09,65,84,10.76,broken clouds
327,Tessalit,ML,20.1986,1.0114,95.09,13,5,12.33,clear sky
328,Cedar City,US,37.6775,-113.0619,88.77,12,75,17.27,light rain
329,Awjilah,LY,29.1081,21.2869,78.1,39,0,14.05,clear sky
330,Aykhal,RU,66.0,111.5,31.64,92,22,8.48,few clouds
331,Gorontalo,ID,0.5412,123.0595,73.49,94,99,1.43,overcast clouds
332,Buraydah,SA,26.326,43.975,86.45,10,0,7.14,clear sky
333,Marzuq,YE,14.4,46.4667,82.06,53,28,3.31,scattered clouds
334,Huilong,CN,31.8111,121.655,77.94,76,100,6.67,overcast clouds
335,Buala,SB,-8.145,159.5921,82.29,75,49,10.6,light rain
336,Yar-Sale,RU,66.8333,70.8333,31.87,83,75,8.46,broken clouds
337,La Tuque,CA,47.4334,-72.7824,77.25,44,0,2.3,clear sky
338,Mahebourg,MU,-20.4081,57.7,70.09,78,75,6.91,broken clouds
339,Akdepe,TM,42.0551,59.3788,62.69,35,86,14.0,overcast clouds
340,Kosa,RU,59.9445,54.9977,43.3,95,100,3.18,overcast clouds
341,Palmer,US,42.1584,-72.3287,69.66,76,75,5.75,broken clouds
342,Baoning,CN,25.3378,110.026,73.26,100,75,0.0,mist
343,Sazava,CZ,49.8716,14.8967,67.01,85,99,4.52,overcast clouds
344,Alofi,NU,-19.0595,-169.9187,82.29,61,3,11.5,clear sky
